###   ###
অ   AO
অঙ্গসংগঠনগুলোকে   AO NG G OO SH AO NG G AO TS OO N G UH L OO K EH
অঙ্গসংগঠনের   AO NG G OO SH AO NG G AO TS OO N EH R
অঙ্গীকার   OO NG G IH K AA R
অঙ্গীকারও   OO NG G IH K AA R OO
অঙ্গে   AO NG G EH
অঙ্গের   AO NG G EH R
অচঞ্চল   AO N CH AO L
অচল   AO CH AO L
অচলায়তনকে   AO CH AO L AA Y OO TT AO N
অচলায়তনকে   AO CH AO L AA Y OO TT AO N K EH
অচিরেই   AO CH IH R EHI
অচেনা   AO CH EH N AA
অছিলায়   OO S IH L AA Y
অজ   AO JH OO
অজপাড়াগাঁ   AO JH OO P AA RH AA G AA*
অজপাড়াগাঁয়ে   AO JH OO P AA RH AA G AA* Y EH
অজস্র   AO JH OO S R OO
অজানা   AO JH AA N AA
অজানাই   AO JH AA N AAY
অজানায়   AO JH AA N AA Y
অজান্তে   AO JH AA N TT EH
অজান্তেই   AO JH AA N TT EHI
অজুহাত   OO JH UH HH AA TT
অজুহাতই   OO JH UH HH AA TT IH
অজুহাতে   OO JH UH HH AA TT EH
অজ্ঞ   AO G G OO
অজ্ঞতায়   AO G G OO TT AA Y
অজ্ঞাত   AO G G AA TT OO
অজ্ঞাতপরিচয়   AO G G AA TT OO P OO R IH CH AO Y
অজ্ঞান   AO G G AA N
অজয়   AO JH AO Y
অঝোরে   AO JHS OO R EH
অঞ্চল   AO N CH AO L
অঞ্চলে   AO N CH AO L EH
অঞ্চলের   AO N CH AO L EH R
অটল   AO T AO L
অটো   AO T OO
অটোবির   AO T OO B IH R
অটোমেশন   AO T OO M EH SH OO N
অট্টালিকা   AO T T AA L IH K AA
অট্টালিকায়   AO T T AA L IH K AA Y
অডিও   AO D IH OO
অডিওরবি   AO D IH OO R OO B IH
অঢেল   AO DS EH L
অণু   OO N UH
অণুকাব্য   OO N UH K AA B B OO
অণুগল্প   OO N UH G AO L P OO
অণুপ্রাণ   OO N UH P R AA N
অত   AO TT OO
অতঃপর   AO TT OO P AO R
অতএব   AO TT OO EH B
অতটুকুন   AO TT OO T UH K UH N
অতনু   AO TT OO N UH
অতলতলের   AO TT AO L TT AO L EH R
অতি   OO TT IH
অতিকাকার   OO TT IH K AA K AA R
অতিক্রম   OO TT IH K R AO M
অতিক্রমের   OO TT IH K R AO M EH R
অতিথি   OO TT IH TTS IH
অতিথিকে   OO TT IH TTS IH K EH
অতিথিদের   OO TT IH TTS IH DD EH R
অতিথির   OO TT IH TTS IH R
অতিপরিচিত   OO TT IH P OO R IH CH IH TT OO
অতিরঞ্জিত   OO TT IH R OO N JH IH TT OO
অতিরঞ্জিতই   OO TT IH R OO N JH IH TT OO IH
অতিরিক্ত   OO TT IH R IH K TT OO
অতিষ্ঠ   OO TT IH SH TS OO
অতীত   OO TT IH TT
অতীতকাল   OO TT IH TT K AA L
অতীতকে   OO TT IH TT K EH
অতীতটাকে   OO TT IH TT T AA K EH
অতীতে   OO TT IH TT EH
অতীতের   OO TT IH TT EH R
অতৃপ্তি   AO TT R IH P TT IH
অত্যন্ত   OO TT TT AO N TT OO
অত্যাচার   OO TT TT AA CH AA R
অত্যাধুনিক   AO TT TT AA DDS UH N IH K
অত্যাবশ্যক   AO TT TT AA B AO SH SH OO K
অথচ   AO TTS OO CH OO
অথবা   AO TTS OO B AA
অথরিটিসহ   AO TTS OO R IH T IH SH AO HH AO
অথর্ব   AO TTS AO R B OO
অদক্ষ   AO DD AO K KS OO
অদূরে   AO DD UH R EH
অদৃশ্য   AO DD R IH SH SH OO
অদ্ভুত   AO DD BS UH TT
অধিক   OO DDS IH K
অধিকতর   OO DDS IH K AO TT OO R
অধিকাংশ   OO DDS IH K AA NG SH OO
অধিকাংশই   OO DDS IH K AA NG SH OO IH
অধিকাংশের   OO DDS IH K AA NG SH EH R
অধিকার   OO DDS IH K AA R
অধিকারকে   OO DDS IH K AA R K EH
অধিকারগুলো   OO DDS IH K AA R G UH L OO
অধিকারী   OO DDS IH K AA R IH
অধিকারে   OO DDS IH K AA R EH
অধিকারের   OO DDS IH K AA R EH R
অধিদপ্তর   OO DDS IH DD AO P TT OO R
অধিদপ্তরের   OO DDS IH DD AO P TT OO R EH R
অধিনায়ক   OO DDS IH N AA Y OO K
অধিনায়কের   OO DDS IH N AA Y OO K EH R
অধিবাসী   OO DDS IH B AA SH IH
অধিভুক্তি   OO DDS IH BS UH K TT IH
অধিষ্ঠিত   OO DDS IH SH TS IH TT OO
অধীন   OO DDS IH N
অধীনে   OO DDS IH N EH
অধীনেই   OO DDS IH N EH IH
অধীর   AO DDS IH R
অধৈর্য্য   OO DDS OI R JH OO
অধ্যক্ষ   OO DD DDS OO K KS OO
অধ্যক্ষরা   OO DD DDS OO K KS OO R AA
অধ্যাদেশ   OO DD DDS AA DD EH SH
অধ্যাপক   OO DD DDS AA P AO K
অধ্যাপককে   OO DD DDS AA P AO K K EH
অধ্যাপকের   AO DDS JH AA P AO K EH R
অধ্যাপনা   OO DD DDS AA P OO N AA
অধ্যাপিকা   OO DD DDS AA P IH K AA
অধ্যায়   AO DD DDS AA Y
অধ্যায়ের   AO DDS JH AA Y EH R
অধ্যুষিত   OO DD DDS UH SH IH TT OO
অধ্যয়নরত   OO DD DDS AO Y OO N R AO TT OO
অন   AO N
অন   AO N OO
অনগ্রসর   AO N AO G R OO SH AO R
অনন্ত   AO N OO N TT OO
অনন্তকালের   AO N OO N TT OO K AA L EH R
অনন্য   AO N OO N N OO
অনন্যা   AO N OO N N AA
অনন্যার   AO N OO N JH AA R
অনবরত   AO N OO B AO R OO TT OO
অনলাইন   AO N L AAY N
অনলাইনে   AO N L AAY N EH
অনলাইনের   AO N L AAY N EH R
অনশন   AO N OO SH AO N
অনশনও   AO N OO SH AO N OO
অনাকাঙ্ক্ষিত   AO N AA K AA NG KS IH TT OO
অনাগ্রহ   AO N AA G R OO HH OO
অনাগ্রহী   AO N AA G R OO HH IH
অনাচার   AO N AA CH AA R
অনাত্মীয়   AO N AA TT TT IH Y OO
অনাত্মীয়কে   AO N AA TT TT IH Y OO K EH
অনাদায়ে   AO N AA DD AA Y EH
অনাবিল   AO N AA B IH L
অনার   AO N AA R
অনারীসুলভ   AO N AA R IH SH UH L AO BS
অনারেবল   AO N AA R EH B OO L
অনার্স   AO N AA R S
অনাস্থা  ONASHTHA   
অনাস্থার   AO N AA S TTS AA R
অনাস্থারই   AO N AA S TTS AA R IH
অনাস্বাদিত   AO N AA SH AH AA DD IH TT OO
অনাহার   AO N AA HH AA R
অনাহারে   AO N AA HH AA R EH
অনাড়ম্বর   AO N AA RH AO M B AO R
অনাড়ম্বর   AO N AA RH OO M B AO R
অনায়াসে   AO N AA Y AA SH EH
অনায়াসেই   AO N AA Y AA SH EHI
অনিকেতের   AO N IH K EH TT EH R
অনিচ্ছাসত্ত্বেও   AO N IH CH CHS AA SH AO TT TT EH OO
অনিচ্ছুক   AO N IH CH CHS UH K
অনিন্দ্য   AO N IH N DD OO
অনিবার্যতা   AO N IH B AA R JH OO TT AA
অনির্দিষ্ট   AO N IH R DD IH SH T OO
অনির্দিষ্টকাল   AO N IH R DD IH SH T OO K AA L
অনির্দিষ্টকালের   AO N IH R DD IH SH T OO K AA L EH R
অনির্ধারিত   AO N IH R DDS AA R IH TT OO
অনির্বাচিত   AO N IH R B AA CH IH TT OO
অনিল   AO N IH L
অনিশ্চিত   AO N IH SH CH IH TT OO
অনিশ্চিতির   AO N IH SH CH IH TT IH R
অনিশ্চয়তা   AO N IH SH CH AO Y OO TT AA
অনিয়ন্ত্রিত   AO N IH Y OO N TT R IH TT OO
অনিয়ম   AO N IH Y OO M
অনিয়মের   AO N IH Y OO M EH R
অনীহা   AO N IH HH AA
অনীহায়   AO N IH HH AA Y
অনুকরণে   OO N UH K AO R OO N EH
অনুকূল   OO N UH K UH L
অনুকূলে   OO N UH K UH L EH
অনুগত   OO N UH G AO TT OO
অনুগ্রহ   OO N UH G R OO HH OO
অনুচ্চস্বরে   OO N UH CH CH OO SH AO R EH
অনুচ্ছেদ   AO N UH CH CHS EH DD
অনুচ্ছেদ   OO N UH CH CHS EH DD
অনুচ্ছেদে   AO N UH CH CHS EH DD EH
অনুচ্ছেদের   OO N UH CH CHS EH DD EH R
অনুজ্জ্বল   OO N UH JH JH AO L
অনুজ্ঞাবাচক   OO N UH G G AA B AA CH OO K
অনুদান   OO N UH DD AA N
অনুপম   OO N UH P AO M
অনুপা   OO N UH P AA
অনুপাত   OO N UH P AA TT
অনুপাতটি   OO N UH P AA TT T IH
অনুপাতে   OO N UH P AA TT EH
অনুপ্রাণিত   OO N UH P R AA N IH TT OO
অনুপ্রেরণা   OO N UH P R EH R OO N AA
অনুপ্রেরণায়   OO N UH P R EH R OO N AA Y
অনুবাদ   OO N UH B AA DD
অনুবাদও   OO N UH B AA DD OO
অনুবাদক   OO N UH B AA DD OO K
অনুবাদকও   OO N UH B AA DD OO K OO
অনুবাদককে   OO N UH B AA DD OO K K EH
অনুবাদগ্রন্থ   OO N UH B AA DD G R OO N TTS OO
অনুবাদিকাকে   OO N UH B AA DD IH K AA K EH
অনুবাদের   OO N UH B AA DD EH R
অনুভব   OO N UH BS AO B
অনুভবের   OO N UH BS AO B EH R
অনুভূত   OO N UH BS UH TT OO
অনুভূতি   OO N UH BS UH TT IH
অনুভূতিও   OO N UH BS UH TT IH OO
অনুভূতির   OO N UH BS UH TT IH R
অনুমতি   OO N UH M OO TT IH
অনুমতিতে   OO N UH M OO TT IH TT EH
অনুমদনে  ONUMDN   
অনুমদনের   OO N UH M OO DD OO N EH R
অনুমান   OO N UH M AA N
অনুমোদন   OO N UH M OO DD N
অনুমোদনহীন   OO N UH M OO DD OO N HH IH N
অনুমোদিত   OO N UH M OO DD IH TT OO
অনুযায়ী   OO N UH JH AA Y IH
অনুযায়ীও   OO N UH JH AA Y IH OO
অনুরাগ   OO N UH R AA G
অনুরাগী   OO N UH R AA G IH
অনুরাগের   OO N UH R AA G EH R
অনুরূপ   OO N UH R UH P
অনুরোধ   OO N UH R OO DDS
অনুরোধে   OO N UH R OO DDS EH
অনুলিখন   OO N UH L IH KS OO N
অনুশীলন   OO N UH SH IH L OO N
অনুশীলনে   OO N UH SH IH L OO N EH
অনুশোচনা   OO N UH SH OO CH OO N AA
অনুষদবিভাগীয়   OO N UH SH AO DD B IH BS AA G IH Y OO
অনুষদবিভাগের   OO N UH SH AO DD B IH BS AA G EH R
অনুষদে   OO N UH SH AO DD EH
অনুষদের   OO N UH SH AO DD EH R
অনুষ্ঠান   OO N UH SH TS AA N
অনুষ্ঠানই   OO N UH SH TS AA N IH
অনুষ্ঠানগুলোয়   OO N UH SH TS AA N G UH L OO Y
অনুষ্ঠানটা   OO N UH SH TS AA N T AA
অনুষ্ঠানটি   OO N UH SH TS AA N T IH
অনুষ্ঠানমালা   OO N UH SH TS AA N M AA L AA
অনুষ্ঠানস্থলে   OO N UH SH TS AA N SH TTS AO L EH
অনুষ্ঠানে   OO N UH SH TS AA N EH
অনুষ্ঠানের   OO N UH SH TS AA N EH R
অনুষ্ঠিত   OO N UH SH TS IH TT OO
অনুষ্ঠেয়   OO N UH SH TS EH Y OO
অনুসন্ধান   OO N UH SH AO N DDS AA N
অনুসন্ধানে   OO N UH SH AO N DDS AA N EH
অনুসরণ   OO N UH SH AO R OO N
অনুসারী   OO N UH SH AA R IH
অনুসারীরা   OO N UH SH AA R IH R AA
অনুসারে   OO N UH SH AA R EH
অনুসারেই   OO N UH SH AA R EHI
অনূদিত   OO N UH DD IH TT OO
অনেক   AO N EH K
অনেককে   AO N EH K K EH
অনেককেই   AO N EH K K EHI
অনেকক্ষণ   AO N EH K KS AO N
অনেকখানি   AO N EH K KS AA N IH
অনেকখানিই   AO N EH K KS AA N IHY
অনেকগুলো   AO N EH K G UH L OO
অনেকটা   AO N EH K T AA
অনেকটাই   AO N EH K T AAY
অনেকদিন   AO N EH K DD IH N
অনেকসময়   AO N EH K SH AO M AO Y
অনেকে   AO N EH K EH
অনেকেই   AO N EH K EHI
অনেকের   AO N EH K EH R
অনেকেরই   AO N EH K EH R IH
অনৈসলামিক   AO N OI S L AA M IH K
অন্ত   AO N TT OO
অন্তঃকরণে   AO N TT OO K AO R OO N EH
অন্তঃকোন্দলে   AO N TT OO K OO N DD OO L EH
অন্তঃপুরবাসিনী   AO N TT OO P UH R B AA SH IH N IH
অন্তত   AO N TT OO TT OO
অন্ততপক্ষে   AO N TT OO TT OO P AO K KS EH
অন্তদ্বন্দ্ব   AO N TT OO DD AO N DD OO
অন্তদ্বন্দ্বের   AO N TT OO DD AO N DD EH R
অন্তর   AO N TT OO R
অন্তরঙ্গ   AO N TT OO R AO NG G OO
অন্তরটা   AO N TT OO R T AA
অন্তরদৃষ্টি   AO N TT OO R DD R IH SH T IH
অন্তরা   AO N TT OO R AA
অন্তরাত্মা   AO N TT OO R AA TT TT AA
অন্তরাল   AO N TT OO R AA L
অন্তরায়   AO N TT OO R AAI 
অন্তরীণাবদ্ধ   AO N TT OO R IH N AA B AO DD DDS OO
অন্তরে   AO N TT OO R EH
অন্তর্গত   AO N TT OO R G AO TT OO
অন্তর্বর্তীকালীন   AO N TT OO R B OO R TT IH K AA L IH N
অন্তর্বাস   AO N TT OO R B AA SH
অন্তর্ভুক্ত   AO N TT OO R BS UH K TT OO
অন্তিম   OO N TT IH M
অন্তু   OO N TT UH
অন্তুকে   OO N TT UH K EH
অন্তুর   OO N TT UH R
অন্ধ   AO N DDS OO
অন্ধকার   AO N DDS OO K AA R
অন্ধকারই   AO N DDS OO K AA R IH
অন্ধকারে   AO N DDS OO K AA R EH
অন্ধকারের   AO N DDS OO K AA R EH R
অন্ধভাবে   AO N DDS OO BS AA B EH
অন্ধ্রপ্রদেশ   AO N DDS R OO P R OO DD EH SH
অন্ধ্রপ্রদেশের   AO N DDS R OO P R OO DD EH SH EH R
অন্নবস্ত্রের   AO N N OO B AO S TT R EH R
অন্বেষণ   AO N N EH SH OO N
অন্বেষণে   AO N N EH SH OO N EH
অন্বেষণের   AO N N EH SH OO N EH R
অন্য   OO N N OO
অন্যকিছু   OO N N OO K IH CHS UH
অন্যকে   OO N N OO K EH
অন্যখানে   OO N N OO KS AA N EH
অন্যগুলোর   OO N N OO G UH L OO R
অন্যজন   OO N N OO JH AO N
অন্যজনকে   OO N N OO JH AO N K EH
অন্যজনার   OO N N OO JH AO N AA R
অন্যজনের   OO N N OO JH AO N EH R
অন্যটি   OO N N OO T IH
অন্যটির   OO N N OO T IH R
অন্যতম   OO N N OO TT AO M OO
অন্যত্র   OO N N OO TT R OO
অন্যত্রও   OO N N OO TT R OO UH
অন্যথায়   OO N N OO TTS AAI 
অন্যদিকে   OO N N OO DD IH K EH
অন্যদের   OO N N OO DD EH R
অন্যপিঠে   OO N N OO P IH TS EH
অন্যভাবে   OO N N OO BS AA B EH
অন্যমনস্ক   OO N N OO M AO N OO SH K OO
অন্যরকম   OO N N OO R AO K OO M
অন্যরা   OO N N OO R AA
অন্যরাও   OO N N OO R AA OO
অন্যান্য   OO N N AA N N OO
অন্যান্যসদস্যরা   OO N N AA N N OO SH AO DD OO SH SH OO R AA
অন্যান্যের   OO N N AA N N EH R
অন্যায্য   AO N AE JH JH OO
অন্যায়   AO N N AA Y
অন্যায়   AO N N AE Y
অন্যায়ই   AO N N AA Y IH
অন্যায়ই   AO N N AE Y IH
অন্যায়ভাবে   AO N N AA Y BS AA B EH
অন্যায়ভাবে   AO N N AE Y BS AA B EH
অন্যায়ের   OO N JH AA Y EH R
অন্যায়ের   OO N JH AE Y EH R
অন্যের   OO N N EH R
অনঢ়   AO N AO RH
অপঅবস্থান   AO P OO AO OO B S TTS AA N
অপকর্ম   AO P OO K AO R M OO
অপকর্মকে   AO P OO K AO R M OO K EH
অপক্ষমাণ   AO P EH K KS OO M AA N
অপছন্দ   AO P AO CHS OO N DD OO
অপছন্দের   AO P AO CHS OO N DD EH R
অপটিক   AO P T IH K
অপটিক্যাল   AO P T IH K AE L
অপটিক্সের   AO P T IH K S EH R
অপদার্থ   AO P OO DD AA R TTS OO
অপবাদ   AO P OO B AA DD
অপব্যবহার   AO P OO B AE B OO HH AA R
অপমান   AO P OO M AA N
অপমানই   AO P OO M AA N IH
অপমানজনক   AO P OO M AA N JH AO N OO K
অপমানে   AO P OO M AA N EH
অপমানের   AO P OO M AA N EH R
অপর   AO P OO R
অপরকে   AO P OO R K EH
অপরটির   AO P OO R T IH R
অপরদিকে   AO P OO R DD IH K EH
অপরাজেয়   AO P AO R AA JH EH Y OO
অপরাধ   AO P OO R AA DDS
অপরাধও   AO P OO R AA DDS OO
অপরাধকে   AO P OO R AA DDS K EH
অপরাধজনক   AO P OO R AA DDS JH AO N OO K
অপরাধবোধ   AO P OO R AA DDS B OO DDS
অপরাধবোধে   AO P OO R AA DDS B OO DDS EH
অপরাধী   AO P OO R AA DDS IH
অপরাধীকে   AO P OO R AA DDS IH K EH
অপরাধীদের   AO P OO R AA DDS IH DD EH R
অপরাধীরা   AO P OO R AA DDS IH R AA
অপরাধে   AO P OO R AA DDS EH
অপরাধের   AO P OO R AA DDS EH R
অপরাহ্   AO P OO R AA HH
অপরিকল্পিত   AO P OO R IH K OO L P IH TT OO
অপরিচিত   AO P OO R IH CH IH TT OO
অপরিচিতকে   AO P OO R IH CH IH TT OO K EH
অপরিণত   AO P OO R IH N AO TT OO
অপরিবর্তনীয়   AO P OO R IH B AO R TT OO N IH Y OO
অপরিবর্তিত   AO P OO R IH B OO R TT IH TT OO
অপরিসর   AO P OO R IH SH AO R
অপরিসীম   AO P OO R IH SH IH M
অপরিহার্য   AO P OO R IH HH AA R JH OO
অপরূপ   AO P OO R UH P
অপরূপা   AO P OO R UH P AA
অপরের   AO P OO R EH R
অপশন   AO P SH AO N
অপশনটি   AO P SH AO N T IH
অপশনে   AO P SH AO N EH
অপশনের   AO P SH AO N EH R
অপসারণ   AO P OO SH AA R OO N
অপস্রিয়মাণ   AO P OO S R IH Y OO M AA N
অপহরণ   AO P OO HH AO R OO N
অপহরণকারীদের   AO P OO HH AO R OO N K AA R IH DD EH R
অপহরণসংক্রান্ত   AO P OO HH AO R OO N SH AO NG K R AA N TT OO
অপহরণের   AO P OO HH AO R OO N EH R
অপহারণকারীদের   AO P OO HH AA R OO N K AA R IH DD EH R
অপহৃত   AO P OO HH R IH TT OO
অপহৃতদের   AO P OO HH R IH TT OO DD EH R
অপারগতা   AO P AA R OO G AO TT AA
অপারেটর   AO P AA R EH T AO R
অপারেটরদের   AO P AA R EH T AO R DD EH R
অপারেটিং   AO P AA R EH T IH NG
অপারেশন   AO P AA R EH SH OO N
অপারেশনযোগ্য   AO P AA R EH SH OO N JH OO G G OO
অপারেশনে   AO P AA R EH SH OO N EH
অপারেশনের   AO P AA R EH SH OO N EH R
অপু   OO P UH
অপুই   OO P UH IH
অপুর   OO P UH R
অপুষ্পক   AO P UH SH P OO K
অপূর্ব   AO P UH R B OO
অপেক্ষমাণ   AO P EH K KS OO M AA N
অপেক্ষমান   AO P EH K KS OO M AA N
অপেক্ষা   AO P EH K KS AA
অপেক্ষাকৃত   AO P EH K KS AA K R IH TT OO
অপেক্ষাকৃতভাবে   AO P EH K KS AA K R IH TT OO BS AA B EH
অপেক্ষায়   AO P EH K KS AAI 
অপেরা   AO P EH R AA
অপেশাদার   AO P EH SH AA DD AA R
অপ্রকাশিত   AO P R OO K AA SH IH TT OO
অপ্রকৃতিস্থ   AO P R OO K R IH TT IH SH TTS OO
অপ্রচলিত   AO P R OO CH OO L IH TT OO
অপ্রতিকূল   AO P R OO TT IH K UH L
অপ্রতুল   AO P R OO TT UH L
অপ্রধান   AO P R OO DDS AA N
অপ্রস্তুত   AO P R OO S TT UH TT
অপ্রাতিষ্ঠানিক   AO P R AA TT IH SH TS AA N IH K
অপ্রাপ্তবয়স্ক   AO P R AA P TT OO B AO Y OO SH K OO
অপ্রিয়   AO P R IH Y OO
অপ্রীতিকর   AO P R IH TT IH K AO R
অপ্রয়োজনীয়   AO P R OO Y OO JH OO N IH Y OO
অফিস   AO PS IH SH
অফিসআদালত   AO PS IH SH AA DD AA L AO TT
অফিসআদালতে   AO PS IH SH AA DD AA L AO TT EH
অফিসই   AO PS IH SH IH
অফিসকক্ষে   AO PS IH SH K AO K KS EH
অফিসকর্মীদের   AO PS IH SH K OO R M IH DD EH R
অফিসগুলোতেও   AO PS IH SH G UH L OO TT EH OO
অফিসসহ   AO PS IH SH SH AO HH OO
অফিসার   AO PS IH S AA R
অফিসিয়াল   AO PS IH SH IH Y AA L
অফিসে   AO PS IH S EH
অফিসে   AO PS IH SH EH
অফিসেই   AO PS IH SH EHI
অফিসেও   AO PS IH SH EH OO
অফিসের   AO PS IH SH EH R
অফেরতযোগ্য   AO PS EH R OO TT JH OO G G OO
অব   AO B OO
অবঃ   AO B OO
অবকাঠামো   AO B OO K AA TS AA M OO
অবকাঠামোও   AO B OO K AA TS AA M OO OO
অবকাঠামোগত   AO B OO K AA TS AA M OO G AO TT OO
অবকাশ   AO B OO K AA SH
অবক্ষয়   AO B OO K KS AO Y
অবগত   AO B OO G AO TT OO
অবগতি   AO B OO G OO TT IH
অবগতির   AO B OO G OO TT IH R
অবগুণ্ঠন   AO B OO G UH N TS AO N
অবগুণ্ঠন   AO B OO G UH N TS OO N
অবগুণ্ঠনবস্ত্রের   AO B OO G UH N TS OO N B AO S TT R EH R
অবগুণ্ঠনের   AO B OO G UH N TS AO N EH R
অবচেতন   AO B OO CH EH TT OO N
অবজ্ঞা   AO B OO G G AA
অবজ্ঞার   AO B OO G G AA R
অবদান   AO B OO DD AA N
অবদানের   AO B OO DD AA N EH R
অবদানেরও   AO B OO DD AA N EH R OO
অবধারিত   AO B OO DDS AA R IH TT OO
অবধারিতভাবেই   AO B OO DDS AA R IH TT OO BS AA B EHI
অবধি   AO B OO DDS IH
অবনতি   AO B OO N OO TT IH
অবনতির   AO B OO N OO TT IH R
অবমানিত   AO B OO M AA N IH TT OO
অবরোধের   AO B OO R OO DDS EH R
অবর্তমানে   AO B AO R TT OO M AA N EH
অবলম্বন   AO B OO L AO M B OO N
অবলম্বনও   AO B OO L AO M B OO N OO
অবলম্বনে   AO B OO L AO M B OO N EH
অবলা   AO B OO L AA
অবলীলায়   AO B OO L IH L AAI 
অবশিষ্ট   AO B OO SH IH SH T OO
অবশেষে   AO B OO SH EH SH EH
অবশ্য   AO B OO SH SH OO
অবশ্যই   AO B OO SH SH OO IH
অবশ্যম্ভাবী   AO B OO SH SH OO M BS AA B IH
অবশ্যম্ভাবীভাবে   AO B OO SH SH OO M BS AA B IH BS AA B EH
অবসন্ন   AO B OO SH AO N N OO
অবসর   AO B OO SH AO R
অবসরপ্রাপ্ত   AO B OO SH AO R P R AA P TT OO
অবসরে   AO B OO SH AO R EH
অবসরের   AO B OO SH AO R EH R
অবসান   AO B OO SH AA N
অবসানে   AO B OO SH AA N EH
অবস্থা   AO B OO S TTS AA
অবস্থাটা   AO B OO S TTS AA T AA
অবস্থাটার   AO B OO S TTS AA T AA R
অবস্থাতেই   AO B OO S TTS AA TT EHI
অবস্থাদৃষ্টে   AO B OO S TTS AA DD R IH SH T EH
অবস্থান   AO B OO S TTS AA N
